"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2022","479.84","478.38","479.90","475.91","5.56M","0.60%"
"12/31/2021","476.99","477.66","478.93","476.75","3.98M","-0.25%"
"12/30/2021","478.18","480.04","481.09","477.76","4.03M","-0.28%"
"12/29/2021","479.53","479.08","480.64","478.00","3.31M","0.10%"
"12/28/2021","479.03","479.84","480.90","478.12","4.27M","-0.08%"
"12/27/2021","479.40","474.08","479.40","474.08","4.13M","1.43%"
"12/23/2021","472.63","470.82","474.23","470.71","4.37M","0.61%"
"12/22/2021","469.75","464.80","469.87","464.65","4.83M","1.01%"
"12/21/2021","465.06","460.57","465.24","458.32","6.33M","1.78%"
"12/20/2021","456.92","456.46","457.40","453.10","7.00M","-1.12%"
"12/17/2021","462.11","463.52","466.73","460.06","8.43M","-0.99%"
"12/16/2021","466.74","472.96","473.28","465.17","7.87M","-0.92%"
"12/15/2021","471.06","463.83","471.27","461.14","7.05M","1.57%"
"12/14/2021","463.77","463.48","466.12","460.61","10.31M","-0.71%"
"12/13/2021","467.07","470.66","470.94","466.71","8.93M","-1.20%"
"12/10/2021","472.74","471.14","472.81","468.42","5.63M","0.96%"
"12/09/2021","468.25","470.05","471.00","468.04","5.55M","-0.67%"
"12/08/2021","471.43","470.60","471.90","468.71","4.99M","0.26%"
"12/07/2021","470.19","466.28","470.75","466.23","6.66M","2.08%"
"12/06/2021","460.62","458.01","462.62","455.38","6.55M","1.20%"
"12/03/2021","455.14","460.96","462.09","450.74","9.92M","-0.90%"
"12/02/2021","459.26","452.52","460.88","452.11","10.04M","1.54%"
"12/01/2021","452.29","463.45","466.51","452.07","7.94M","-1.17%"
"11/30/2021","457.63","463.91","465.88","457.13","9.78M","-1.90%"
"11/29/2021","466.50","465.91","468.42","463.60","5.48M","1.28%"
"11/26/2021","460.62","464.23","465.73","459.60","7.26M","-2.26%"
"11/24/2021","471.28","468.01","471.47","467.05","4.66M","0.26%"
"11/23/2021","470.06","469.19","470.95","466.31","8.49M","0.14%"
"11/22/2021","469.41","472.73","475.50","469.24","4.29M","-0.30%"
"11/19/2021","470.82","471.45","472.82","470.40","3.35M","-0.16%"
"11/18/2021","471.59","471.14","471.90","468.27","2.91M","0.33%"
"11/17/2021","470.04","470.92","471.08","469.34","4.85M","-0.24%"
"11/16/2021","471.15","469.06","472.38","468.97","3.96M","0.40%"
"11/15/2021","469.28","470.59","470.68","468.12","2.95M","0.03%"
"11/12/2021","469.16","467.03","469.72","465.97","2.71M","0.74%"
"11/11/2021","465.73","467.07","467.12","465.61","3.46M","0.04%"
"11/10/2021","465.54","467.47","469.25","463.88","4.23M","-0.79%"
"11/09/2021","469.25","471.22","471.44","467.74","3.52M","-0.35%"
"11/08/2021","470.89","471.57","472.10","470.08","2.96M","0.10%"
"11/05/2021","470.40","471.18","472.54","468.79","4.36M","0.35%"
"11/04/2021","468.75","467.21","468.86","466.84","3.04M","0.46%"
"11/03/2021","466.61","463.14","466.97","462.68","2.92M","0.61%"
"11/02/2021","463.76","462.08","464.05","461.92","3.28M","0.39%"
"11/01/2021","461.94","462.13","462.52","460.02","2.91M","0.21%"
"10/29/2021","460.99","457.70","461.39","457.38","4.18M","0.19%"
"10/28/2021","460.12","457.29","460.20","457.27","2.46M","0.96%"
"10/27/2021","455.74","458.26","458.95","455.67","2.51M","-0.45%"
"10/26/2021","457.78","458.98","460.29","457.38","2.55M","0.11%"
"10/25/2021","457.26","456.07","457.70","454.17","2.07M","0.52%"
"10/22/2021","454.88","455.00","456.46","452.83","3.76M","-0.12%"
"10/21/2021","455.43","453.55","455.64","453.10","4.88M","0.26%"
"10/20/2021","454.25","452.87","454.52","452.78","2.74M","0.38%"
