volume,vw,open,close,high,low,timestamp,transactions
281749140.0,1.3031,1.2667,1.5927,1.6667,1.1693,2010-06-29 04:00:00,74021
257915910.0,1.8012,1.7193,1.5887,2.0279,1.5533,2010-06-30 04:00:00,93602
123447945.0,1.5142,1.6667,1.464,1.728,1.3513,2010-07-01 04:00:00,41509
77127105.0,1.3404,1.5333,1.28,1.54,1.2473,2010-07-02 04:00:00,27028
103189440.0,1.181,1.3333,1.074,1.3333,1.0553,2010-07-06 04:00:00,34311
103873710.0,1.0478,1.0933,1.0533,1.1087,0.9987,2010-07-07 04:00:00,34318
115793085.0,1.1051,1.076,1.164,1.168,1.038,2010-07-08 04:00:00,38760
60879090.0,1.1513,1.172,1.16,1.1933,1.1033,2010-07-09 04:00:00,18974
33053550.0,1.1656,1.1967,1.1367,1.2047,1.1333,2010-07-12 04:00:00,11403
40200900.0,1.1869,1.1596,1.2093,1.2427,1.1267,2010-07-13 04:00:00,13287
62941650.0,1.288,1.196,1.3227,1.3433,1.184,2010-07-14 04:00:00,20990
56179455.0,1.3501,1.3293,1.326,1.4333,1.2667,2010-07-15 04:00:00,17731
39318150.0,1.3758,1.38,1.376,1.42,1.3367,2010-07-16 04:00:00,13073
37297335.0,1.4519,1.4247,1.4607,1.4833,1.3947,2010-07-19 04:00:00,10142
27378465.0,1.393,1.4567,1.3533,1.4567,1.3367,2010-07-20 04:00:00,8427
18801630.0,1.3459,1.3773,1.348,1.3933,1.3,2010-07-21 04:00:00,5292
14435175.0,1.3958,1.3667,1.4,1.4167,1.358,2010-07-22 04:00:00,3774
9810735.0,1.4211,1.4127,1.4193,1.4373,1.404,2010-07-23 04:00:00,3012
13836795.0,1.3964,1.4333,1.3967,1.4333,1.3533,2010-07-26 04:00:00,4390
9295125.0,1.3759,1.394,1.37,1.412,1.3507,2010-07-27 04:00:00,2873
7007745.0,1.3811,1.37,1.3813,1.3933,1.3673,2010-07-28 04:00:00,2255
9238650.0,1.3472,1.3847,1.3567,1.392,1.3333,2010-07-29 04:00:00,2366
6402450.0,1.3289,1.3467,1.3293,1.3627,1.3033,2010-07-30 04:00:00,2085
10787175.0,1.3793,1.3667,1.3947,1.398,1.3555,2010-08-02 04:00:00,3374
18465345.0,1.4343,1.4,1.4633,1.4633,1.388,2010-08-03 04:00:00,5918
13811340.0,1.4228,1.4633,1.4173,1.4787,1.39,2010-08-04 04:00:00,3891
11945700.0,1.368,1.436,1.3633,1.4367,1.3367,2010-08-05 04:00:00,3734
11132070.0,1.3164,1.34,1.306,1.344,1.3013,2010-08-06 04:00:00,2987
12189840.0,1.3103,1.3267,1.3067,1.332,1.2967,2010-08-09 04:00:00,3142
19219290.0,1.2745,1.31,1.2687,1.31,1.2547,2010-08-10 04:00:00,4301
11964750.0,1.2138,1.246,1.1933,1.2587,1.19,2010-08-11 04:00:00,3841
10369215.0,1.1683,1.1867,1.1733,1.1933,1.1593,2010-08-12 04:00:00,3250
9517695.0,1.2065,1.212,1.2213,1.23,1.1774,2010-08-13 04:00:00,2567
7293165.0,1.2381,1.23,1.252,1.2533,1.2174,2010-08-16 04:00:00,1937
6718215.0,1.276,1.264,1.2767,1.2933,1.252,2010-08-17 04:00:00,2048
9019980.0,1.2599,1.306,1.2513,1.306,1.24,2010-08-18 04:00:00,2791
8686230.0,1.2496,1.236,1.2527,1.2833,1.222,2010-08-19 04:00:00,2698
4462485.0,1.2613,1.2433,1.2733,1.274,1.234,2010-08-20 04:00:00,1348
16320435.0,1.3168,1.2727,1.342,1.3593,1.2667,2010-08-23 04:00:00,4366
10096110.0,1.2855,1.2833,1.28,1.314,1.2633,2010-08-24 04:00:00,2956
7549335.0,1.2829,1.2773,1.3267,1.332,1.2373,2010-08-25 04:00:00,2345
6506040.0,1.3198,1.326,1.3167,1.3513,1.3067,2010-08-26 04:00:00,1704
